ref,name,counter,perc
ЗелАО,Зеленоградский административный округ,0,0.0
ВАО,Восточный административный округ,47778,10.677483155107105
САО,Северный административный округ,51159,11.433072977774799
ЮЗАО,Юго-Западный административный округ,49808,11.131149922340294
ЮВАО,Юго-Восточный административный округ,39155,8.750405059613602
ТАО,Троицкий административный округ,0,0.0
ЮАО,Южный административный округ,57756,12.907378230699607
СВАО,Северо-Восточный административный округ,50831,11.35977115528589
ЦАО,Центральный административный округ,69982,15.639658967740495
СЗАО,Северо-Западный административный округ,29441,6.579509011878024
НАО,Новомосковский административный округ,19,0.004246142156369772
ЗАО,Западный административный округ,51536,11.51732537740382
